name,date,tickets,gross,month,year
Dead & Company,6/7/2019,0,2866616,6,2019
Paul McCartney,6/8/2019,49416,6529928,6,2019
Dead & Company,6/14/2019,0,0,6,2019
Paul McCartney,6/14/2019,0,0,6,2019
The Rolling Stones ,6/21/2019,98228,21741563,6,2019
Paul McCartney,6/22/2019,40224,6124084,6,2019
Dead & Company,6/22/2019,40509,3281808,6,2019
Dead & Company,6/23/2019,0,4042235,6,2019
Paul McCartney,6/26/2019,13837,2717939,6,2019
Paul McCartney,6/28/2019,29822,7202945,6,2019
The Rolling Stones ,7/3/2019,39082,9257201,7,2019
Dead & Company,7/5/2019,0,0,7,2019
Paul McCartney,7/6/2019,0,4307638,7,2019
The Rolling Stones ,7/7/2019,0,0,7,2019
Paul McCartney,7/10/2019,0,3241678,7,2019
Paul McCartney,7/13/2019,0,0,7,2019
The Rolling Stones ,7/15/2019,35023,7163691,7,2019
The Rolling Stones ,7/19/2019,50358,0,7,2019
The Rolling Stones ,7/23/2019,51115,11741372,7,2019
The Rolling Stones ,7/27/2019,45958,0,7,2019
The Rolling Stones ,8/1/2019,104964,25510437,8,2019
The Rolling Stones ,8/10/2019,0,0,8,2019
The Rolling Stones ,8/14/2019,0,0,8,2019
The Rolling Stones ,8/18/2019,0,0,8,2019
The Rolling Stones ,8/22/2019,0,0,8,2019
The Rolling Stones ,8/26/2019,0,0,8,2019
The Rolling Stones ,8/30/2019,0,0,8,2019
Elton John,9/6/2019,0,0,9,2019
Eric Clapton                                  Jimmie Vaughan,9/13/2019,0,2804165,9,2019
Elton John,9/21/2019,45425,5306510,9,2019
Elton John,9/27/2019,30654,3264773,9,2019
Elton John,10/1/2019,26380,2630069,10,2019
Dead & Company,10/31/2019,0,0,10,2019
Elton John,11/1/2019,27081,4144012,11,2019
Dead & Company,11/8/2019,20108,2956067,11,2019
Celine Dion,12/1/2019,13685,2870852,12,2019
Celine Dion,12/3/2019,11633,1630450,12,2019
Celine Dion,12/5/2019,12462,1746480,12,2019
