Artist,,,Date,Sum of Capacity,Sum of Gross
"Billy Joel,,",,,,"1,090,542","$122,130,196.00 "
",01/09/15,",,,,"224,244","$26,315,625.00 "
",05/13/17,",,,,"48,162","$5,046,093.00 "
",08/26/16,",,,,"41,997","$4,876,038.00 "
",06/17/17,",,,,"45,602","$4,805,909.00 "
",05/14/16,",,,,"42,322","$4,778,636.00 "
",07/28/17,",,,,"38,964","$4,753,087.00 "
",09/21/17,",,,,"40,947","$4,713,441.00 "
",08/11/17,",,,,"41,920","$4,694,156.00 "
",07/01/16,",,,,"39,500","$4,627,472.00 "
",04/28/17,",,,,"37,109","$4,623,823.00 "
",09/09/17,",,,,"41,183","$4,529,573.00 "
",08/27/15,",,,,"41,183","$4,521,252.00 "
",07/25/15,",,,,"39,662","$4,481,549.00 "
",08/30/17,",,,,"36,446","$4,241,968.00 "
",07/09/16,",,,,"39,303","$4,162,880.00 "
",07/16/15,",,,,"36,034","$4,129,877.00 "
",05/20/16,",,,,"36,582","$4,045,000.00 "
",07/14/17,",,,,"32,833","$4,035,981.00 "
",07/30/16,",,,,"37,807","$4,031,634.00 "
",08/18/16,",,,,"36,771","$3,995,381.00 "
",08/13/15,",,,,"38,313","$3,939,042.00 "
",09/05/15,",,,,"37,064","$3,924,448.00 "
",03/20/15,",,,,"36,594","$2,857,331.00 "
"Metallica,,",,,,"1,168,464","$113,240,349.00 "
",03/01/17,",,,,"197,745","$9,578,235.00 "
",07/29/17,",,,,"60,509","$6,384,282.00 "
",05/19/17,",,,,"47,778","$6,095,723.00 "
",06/07/17,",,,,"51,955","$5,884,163.00 "
",05/12/17,",,,,"49,722","$5,421,187.00 "
",06/18/17,",,,,"51,041","$5,313,714.00 "
",08/04/17,",,,,"52,926","$5,246,586.00 "
",05/14/17,",,,,"46,941","$5,196,436.00 "
",08/20/16,",,,,"48,492","$5,158,790.00 "
",08/09/17,",,,,"47,175","$4,944,489.00 "
",06/11/17,",,,,"46,720","$4,854,470.00 "
",08/06/17,",,,,"43,491","$4,846,411.00 "
",07/09/17,",,,,"39,024","$4,531,443.00 "
",06/14/17,",,,,"45,343","$4,527,654.00 "
