year,name,Date,City,State,Country,Venue,Revenue
2015,Taylor Swift,5/30/2015,Detroit,MI, USA,Ford Field,5999690
2015,Taylor Swift,6/2/2015,Louisville,KY, USA,KFC Yum! Center,1863281
2015,Taylor Swift,6/3/2015,Cleveland,OH, USA,Quicken Loans Arena,1732041
2015,Taylor Swift,6/6/2015,Pittsburgh,PA, USA,Heinz Field,5836926
2015,Taylor Swift,6/8/2015,Charlotte,NC, USA,Time Warner Cable Arena,1627798
2015,Taylor Swift,6/9/2015,Raleigh,NC, USA,PNC Arena,1653762
2015,Taylor Swift,6/12/2015,Philadelphia,PA, USA,Lincoln Financial Field,11987816
2015,Taylor Swift,7/6/2015,Ottawa,Canada,Canada,Canadian Tire Centre,1325480
2015,Taylor Swift,7/7/2015,Montreal,Canada,Canada,Bell Centre,1499040
2015,Taylor Swift,7/10/2015,East Rutherford,NJ, USA,MetLife Stadium,13423858
2015,Taylor Swift,7/13/2015,"Washington, D.C.",DC, USA,Nationals Park,9730596
2015,Taylor Swift,7/18/2015,Chicago,IL, USA,Soldier Field,11469887
2015,Taylor Swift,7/24/2015,Foxborough,MA, USA,Gillette Stadium,12533166
2015,Taylor Swift,8/1/2015,Vancouver,Canada,Canada,BC Place Stadium,4081820
2015,Taylor Swift,8/4/2015,Edmonton,Canada,Canada,Rexall Place,2387080
2015,Taylor Swift,8/8/2015,Seattle,WA, USA,CenturyLink Field,6050643
2015,Taylor Swift,8/14/2015,Santa Clara,CA,USA,Levi's Stadium,13031146
2015,Taylor Swift,8/17/2015,Glendale,CA, USA,Gila River Arena,3029628
2015,Taylor Swift,8/21/2015,Los Angeles,CA, USA,Staples Center,8961681
2015,Taylor Swift,8/29/2015,San Diego,CA, USA,Petco Park,5475237
2015,Taylor Swift,9/4/2015,Salt Lake City,UT, USA,EnergySolutions Arena,1589686
2015,Taylor Swift,9/5/2015,Denver,CO, USA,Pepsi Center,2868991
2015,Taylor Swift,9/9/2015,Houston,TX, USA,Minute Maid Park,5202196
2015,Taylor Swift,9/11/2015,Saint Paul,MN, USA,Xcel Energy Center,5514863
2015,Taylor Swift,9/16/2015,Indianapolis,IN, USA,Bankers Life Fieldhouse,1550268
2015,Taylor Swift,9/17/2015,Columbus,OH, USA,Nationwide Arena,3369693
2015,Taylor Swift,9/21/2015,Kansas City,KS, USA,Sprint Center,2967558
2015,Taylor Swift,9/25/2015,Nashville,TN, USA,Bridgestone Arena,3354844
2015,Taylor Swift,9/28/2015,St. Louis,MO, USA,Scottrade Center,3452940
2015,Taylor Swift,10/2/2015,Toronto,Canada,Canada,Rogers Centre,8670990
2015,Taylor Swift,10/8/2015,Des Moines,IA, USA,Wells Fargo Arena,1566321
2015,Taylor Swift,10/9/2015,Omaha,NE, USA,CenturyLink Center Omaha,3121421
2015,Taylor Swift,10/12/2015,Fargo,ND, USA,Fargodome,2219188
2015,Taylor Swift,10/17/2015,Arlington,VA, USA,AT&T Stadium,7396733
2015,Taylor Swift,10/20/2015,Lexington,KY, USA,Rupp Arena,1870471
2015,Taylor Swift,10/21/2015,Greensboro,NC, USA,Greensboro Coliseum,1662171
2015,Taylor Swift,10/24/2015,Atlanta,GA, USA,Georgia Dome,6034846
2015,Taylor Swift,10/27/2015,Miami,FL, USA,American Airlines Arena,1527919
2015,Taylor Swift,10/31/2015,Tampa,FL, USA,Raymond James Stadium,6202515
